 ,Diện tích cây lương thực có hạt,Sản lượng cây lương thực có hạt,Sản lượng lương thực có hạt bình quân đầu người,Diện tích lúa,Năng suất lúa,Sản lượng lúa,Diện tích lúa đông xuân,Năng suất lúa đông xuân,Sản lượng lúa đông xuân,Diện tích lúa hè thu và thu đông,Năng suất lúa hè thu và thu đông,Sản lượng lúa hè thu và thu đông,Diện tích lúa mùa,Năng suất lúa mùa,Sản lượng lúa mùa,Diện tích ngô,Năng suất ngô,Sản lượng ngô,Diện tích khoai,Sản lượng khoai,Diện tích sắn,Sản lượng sắn,Năm
CẢ NƯỚC,9008.8,50379.5,549.5,7828.0,57.6,45091.0,3168.0,66.6,21091.7,2869.1,53.5,15341.3,1790.9,48.3,8658.0,1178.9,44.8,5287.2,127.6,1335.9,567.9,10740.2,2015
Ðồng bằng sông Hồng,1202.5,7168.2,342.8,1110.9,60.6,6729.5,553.0,65.8,3636.0,,,,557.9,55.4,3093.5,91.3,48.1,438.7,21.2,201.8,,,2015
Hà Nội,221.6,1272.0,176.6,200.6,58.3,1169.5,101.0,61.1,616.7,,,,99.6,55.5,552.8,21.1,48.6,102.6,4.0,39.0,1.8,34.9,2015
Vĩnh Phúc,74.5,395.9,375.4,58.4,55.9,326.4,30.8,59.8,184.1,,,,27.6,51.6,142.3,16.1,43.2,69.5,2.6,26.3,,,2015
Bắc Ninh,75.5,462.3,400.4,71.9,61.9,444.8,36.0,65.9,237.4,,,,35.9,57.8,207.4,3.6,48.6,17.5,0.5,5.8,,,2015
Quảng Ninh,48.5,235.2,194.3,42.5,49.9,211.9,17.0,54.9,93.3,,,,25.5,46.5,118.6,5.9,39.3,23.2,3.9,23.2,,,2015
Hải Dương,126.7,761.4,429.1,122.7,60.3,740.0,61.8,64.5,398.8,,,,60.9,56.0,341.2,4.0,53.5,21.4,0.8,7.8,,,2015
Hải Phòng,77.0,484.0,246.6,75.8,63.1,478.3,36.7,69.4,254.7,,,,39.1,57.2,223.6,1.1,52.7,5.8,0.9,9.6,,,2015
Hưng Yên,86.0,529.6,454.9,77.5,62.0,480.5,38.7,66.1,255.7,,,,38.8,57.9,224.8,8.5,57.8,49.1,0.5,6.9,,,2015
Thái Bình,172.1,1123.4,627.8,161.0,66.0,1061.9,80.1,71.6,573.4,,,,80.9,60.4,488.5,11.1,55.3,61.4,3.5,42.4,,,2015
Hà Nam,75.6,452.7,564.0,66.8,60.7,405.6,33.1,66.5,220.0,,,,33.7,55.1,185.6,8.7,54.1,47.1,0.6,7.6,,,2015
Nam Ðịnh,158.9,954.8,516.0,154.4,60.6,935.2,76.1,69.2,526.8,,,,78.3,52.2,408.4,4.4,44.5,19.6,1.7,14.9,,,2015
Ninh Bình,86.1,496.9,526.1,79.3,59.9,475.4,41.7,66.0,275.1,,,,37.6,53.3,200.3,6.8,31.6,21.5,2.2,18.3,,,2015
Trung du và miền núi phía Bắc,1203.9,5249.3,443.4,684.3,48.8,3336.8,251.5,56.6,1422.8,,,,432.8,44.2,1914.0,518.9,36.9,1912.6,33.3,225.6,,,2015
Hà Giang,91.8,390.2,486.7,36.8,55.3,203.5,9.6,55.7,53.5,,,,27.2,55.1,150.0,54.8,34.0,186.5,2.1,10.4,4.6,36.3,2015
Cao Bằng,70.5,263.1,501.5,30.5,42.5,129.5,3.3,51.5,17.0,,,,27.2,41.4,112.5,39.9,33.5,133.5,1.5,8.4,4.0,59.9,2015
Bắc Kạn,41.0,185.1,591.2,24.6,47.7,117.4,9.1,54.9,50.0,,,,15.5,43.5,67.4,16.4,41.3,67.7,0.5,2.4,3.0,32.1,2015
Tuyên Quang,64.2,347.3,456.8,45.6,58.4,266.3,20.2,59.7,120.6,,,,25.4,57.4,145.7,18.6,43.5,81.0,3.8,23.3,4.6,59.8,2015
Lào Cai,67.6,283.3,420.0,30.7,48.9,150.1,10.0,56.4,56.4,,,,20.7,45.3,93.7,36.8,36.2,133.2,1.0,6.0,8.9,114.5,2015
Yên Bái,69.5,300.7,379.2,41.3,50.3,207.7,19.4,54.3,105.4,,,,21.9,46.7,102.3,28.2,33.0,93.0,3.0,16.5,15.8,305.8,2015
Thái Nguyên,93.5,469.3,386.2,72.4,52.7,381.4,30.5,54.9,167.4,,,,41.9,51.1,214.0,21.0,41.9,88.0,5.2,33.6,3.4,50.1,2015
Lạng Sơn,71.9,314.9,414.1,49.8,42.3,210.6,15.4,51.8,79.8,,,,34.4,38.0,130.8,22.1,47.2,104.4,2.0,11.9,4.5,45.2,2015
Bắc Giang,122.3,661.3,403.1,111.5,55.5,619.1,53.6,59.2,317.3,,,,57.9,52.1,301.8,10.7,39.5,42.3,5.9,62.3,5.0,71.7,2015
Phú Thọ,88.6,459.9,335.5,69.4,53.4,370.4,37.2,57.1,212.5,,,,32.2,49.0,157.9,19.2,46.6,89.5,2.3,14.5,8.3,115.1,2015
Ðiện Biên,79.2,251.0,458.2,49.4,35.4,174.8,8.8,60.9,53.6,,,,40.6,29.9,121.2,29.7,25.7,76.2,0.6,6.8,,,2015
Lai Châu,53.6,198.8,468.4,30.9,43.0,132.8,6.4,54.7,35.0,,,,24.5,39.9,97.8,22.7,29.1,66.0,0.3,1.4,4.4,36.9,2015
Sơn La,212.1,766.0,645.2,52.1,34.0,177.4,11.6,55.3,64.2,,,,40.5,28.0,113.2,159.9,36.8,588.7,0.2,1.5,31.2,359.5,2015
Hoà Bình,78.1,358.4,434.8,39.3,49.8,195.8,16.4,54.9,90.1,,,,22.9,46.2,105.7,38.9,41.8,162.6,4.9,26.6,11.7,149.6,2015
Bắc Trung Bộ và Duyên hải miền Trung,1431.4,7784.8,395.7,1220.5,56.2,6855.1,585.7,61.4,3598.9,328.6,54.2,1782.5,306.2,48.1,1473.7,210.4,44.2,929.0,35.9,235.9,,,2015
Thanh Hoá,313.8,1720.8,490.0,257.0,57.4,1475.3,124.6,63.0,785.1,,,,132.4,52.1,690.2,56.8,43.2,245.5,8.3,58.4,17.8,261.9,2015
