" ","2015","2016","2017"
"CẢ NƯỚC",9008.8,8890.6,8806.8
"Ðồng bằng sông Hồng",1202.5,1184.3,1159.0
"Hà Nội",221.6,217.0,209.0
"Vĩnh Phúc",74.5,74.4,73.0
"Bắc Ninh",75.5,73.8,71.5
"Quảng Ninh",48.5,48.1,47.3
"Hải Dương",126.7,124.5,122.4
"Hải Phòng",77.0,75.2,73.3
"Hưng Yên",86.0,82.3,78.2
"Thái Bình",172.1,172.3,171.9
"Hà Nam",75.6,73.9,72.8
"Nam Ðịnh",158.9,157.5,155.8
"Ninh Bình",86.1,85.3,83.8
"Trung du và miền núi phía Bắc",1203.9,1192.4,1170.9
"Hà Giang",91.8,91.0,92.1
"Cao Bằng",70.5,69.2,70.7
"Bắc Kạn",41.0,40.7,39.8
"Tuyên Quang",64.2,63.5,63.7
"Lào Cai",67.6,69.2,70.4
"Yên Bái",69.5,71.4,70.7
"Thái Nguyên",93.5,92.1,88.9
"Lạng Sơn",71.9,72.2,70.8
"Bắc Giang",122.3,120.3,117.5
"Phú Thọ",88.6,86.4,85.3
"Ðiện Biên",79.2,80.1,80.8
"Lai Châu",53.6,54.2,55.0
"Sơn La",212.1,204.2,189.1
"Hoà Bình",78.1,77.9,76.1
"Bắc Trung Bộ và Duyên hải miền Trung",1431.4,1423.0,1453.9
"Thanh Hoá",313.8,306.9,301.0
"Nghệ An",245.5,244.8,244.6
"Hà Tĩnh",110.5,113.0,111.8
"Quảng Bình",58.9,59.9,60.4
"Quảng Trị",51.6,53.8,54.5
"Thừa Thiên Huế",56.1,56.1,56.6
"Ðà Nẵng",5.8,5.9,5.6
"Quảng Nam",101.5,99.3,99.4
"Quảng Ngãi",85.9,86.1,86.1
"Bình Ðịnh",114.5,111.0,113.3
"Phú Yên",63.1,63.3,62.4
"Khánh Hoà",40.4,46.4,54.1
"Ninh Thuận",49.1,53.1,61.5
"Bình Thuận",134.7,123.4,142.6
"Tây Nguyên",478.9,469.0,460.4
"Kon Tum",30.8,30.9,30.6
"Gia Lai",126.8,124.8,122.0
"Ðắk Lắk",211.8,206.3,201.8
"Ðắk Nông",63.6,64.2,63.6
"Lâm Ðồng",45.9,42.8,42.4
"Ðông Nam Bộ",352.5,345.9,342.2
"Bình Phước",18.0,16.8,16.8
"Tây Ninh",149.3,148.9,152.8
"Bình Dương",8.0,7.7,7.6
"Ðồng Nai",115.9,113.1,106.9
"Bà Rịa - Vũng Tàu",40.0,39.4,38.5
"TP.Hồ Chí Minh",21.3,20.0,19.6
"Ðồng bằng sông Cửu Long",4339.6,4276.0,4220.4
"Long An",527.0,529.8,528.1
"Tiền Giang",229.1,219.5,215.3
"Bến Tre",63.7,42.2,55.5
"Trà Vinh",241.4,214.8,224.4
"Vĩnh Long",181.7,177.7,170.8
"Ðồng Tháp",550.5,556.1,543.5
"An Giang",652.8,677.1,649.4
"Kiên Giang",769.7,766.3,735.6
"Cần Thơ",239.0,241.1,241.2
"Hậu Giang",210.0,205.5,209.8
"Sóc Trăng",366.9,360.6,352.4
"Bạc Liêu",180.7,172.5,180.8
"Cà Mau",127.1,112.8,113.6

