" ","2015","2016","2017"
"CẢ NƯỚC",127.6,120.3,121.8
"Đồng bằng sông Hồng",21.2,18.7,17.4
"Hà Nội",4.0,3.5,3.2
"Vĩnh Phúc",2.6,2.2,2.1
"Bắc Ninh",0.5,0.3,0.2
"Quảng Ninh",3.9,3.8,3.5
"Hải Dương",0.8,0.7,0.9
"Hải Phòng",0.9,0.8,0.7
"Hưng Yên",0.5,0.5,0.5
"Thái Bình",3.5,3.2,2.9
"Hà Nam",0.6,0.6,0.5
"Nam Định",1.7,1.5,1.4
"Ninh Bình",2.2,1.6,1.5
"Trung du và miền núi phía Bắc",33.3,31.3,31.4
"Hà Giang",2.1,1.9,2.0
"Cao Bằng",1.5,1.4,1.4
"Bắc Kạn",0.5,0.5,0.5
"Tuyên Quang",3.8,3.2,3.2
"Lào Cai",1.0,1.0,1.2
"Yên Bái",3.0,3.1,3.1
"Thái Nguyên",5.2,4.5,4.3
"Lạng Sơn",2.0,2.1,2.2
"Bắc Giang",5.9,5.6,5.5
"Phú Thọ",2.3,2.1,2.0
"Điện Biên",0.6,0.6,0.6
"Lai Châu",0.3,0.3,0.3
"Sơn La",0.2,0.2,0.3
"Hoà Bình",4.9,4.8,4.8
"Bắc Trung Bộ và Duyên hải miền Trung",35.9,32.3,30.2
"Thanh Hoá",8.3,7.4,7.5
"Nghệ An",6.1,5.3,4.1
"Hà Tĩnh",5.6,4.7,4.2
"Quảng Bình",3.7,3.7,3.5
"Quảng Trị",2.4,2.4,2.5
"Thừa Thiên Huế",3.2,3.0,2.7
"Đà Nẵng",0.3,0.3,0.3
"Quảng Nam",4.3,4.0,3.6
"Quảng Ngãi",0.4,0.3,0.4
"Bình Định",0.3,0.2,0.3
"Phú Yên",0.2,0.2,0.1
"Khánh Hoà",0.2,0.2,0.2
"Ninh Thuận",0.1,0.1,0.3
"Bình Thuận",0.8,0.5,0.5
"Tây Nguyên",14.5,16.7,17.8
"Kon Tum",0.1,0.2,0.2
"Gia Lai",1.7,1.9,2.6
"Đắk Lắk",3.2,4.8,5.8
"Đắk Nông",8.1,8.0,7.0
"Lâm Đồng",1.4,1.8,2.2
"Đông Nam Bộ",1.3,1.5,1.4
"Bình Phước",0.4,0.5,0.7
"Tây Ninh",0.0,0.0,0.0
"Bình Dương",0.2,0.2,0.2
"Đồng Nai",0.3,0.4,0.3
"Bà Rịa - Vũng Tàu",0.3,0.3,0.2
"TP.Hồ Chí Minh",0.1,0.1,0.0
"Đồng bằng sông Cửu Long",21.4,19.8,23.6
"Long An",0.1,0.2,0.1
"Tiền Giang",0.4,0.4,0.4
"Bến Tre",0.1,0.1,0.1
"Trà Vinh",1.4,1.2,1.2
"Vĩnh Long",11.3,11.0,13.8
"Đồng Tháp",3.6,2.7,3.8
"An Giang",0.2,0.2,0.3
"Kiên Giang",1.5,1.5,1.5
"Cần Thơ",0.0,0.0,0.0
"Hậu Giang",0.2,0.1,0.1
"Sóc Trăng",1.9,1.7,1.6
"Bạc Liêu",0.5,0.5,0.5
"Cà Mau",0.2,0.2,0.2

