" ","2015","2016","2017"
"CẢ NƯỚC",7828.0,7737.1,7705.2
"Đồng bằng sông Hồng",1110.9,1094.4,1071.4
"Hà Nội",200.6,197.1,189.9
"Vĩnh Phúc",58.4,58.4,57.9
"Bắc Ninh",71.9,70.8,69.1
"Quảng Ninh",42.5,42.3,41.6
"Hải Dương",122.7,120.3,118.2
"Hải Phòng",75.8,74.0,72.3
"Hưng Yên",77.5,74.1,70.4
"Thái Bình",161.0,160.1,158.7
"Hà Nam",66.8,65.6,64.5
"Nam Định",154.4,153.0,151.1
"Ninh Bình",79.3,78.7,77.7
"Trung du và miền núi phía Bắc",684.3,682.6,679.8
"Hà Giang",36.8,37.5,37.5
"Cao Bằng",30.5,28.9,30.4
"Bắc Kạn",24.6,24.3,24.0
"Tuyên Quang",45.6,45.1,45.1
"Lào Cai",30.7,31.6,32.3
"Yên Bái",41.3,42.8,42.5
"Thái Nguyên",72.4,72.0,71.1
"Lạng Sơn",49.8,50.1,49.5
"Bắc Giang",111.5,109.5,106.8
"Phú Thọ",69.4,67.7,67.1
"Điện Biên",49.4,50.1,50.2
"Lai Châu",30.9,31.4,32.9
"Sơn La",52.1,51.7,51.0
"Hoà Bình",39.3,39.9,39.4
"Bắc Trung Bộ và Duyên hải miền Trung",1220.5,1215.3,1253.4
"Thanh Hoá",257.0,253.9,250.5
"Nghệ An",186.6,186.0,188.6
"Hà Tĩnh",101.7,103.4,104.1
"Quảng Bình",54.1,55.0,55.4
"Quảng Trị",47.7,49.8,50.3
"Thừa Thiên Huế",54.4,54.5,54.9
"Đà Nẵng",5.4,5.4,5.2
"Quảng Nam",88.5,86.7,86.8
"Quảng Ngãi",75.7,75.8,75.5
"Bình Định",105.7,102.5,105.1
"Phú Yên",57.2,57.5,56.9
"Khánh Hoà",34.2,39.9,47.5
"Ninh Thuận",37.3,41.4,48.4
"Bình Thuận",115.0,103.5,124.2
"Tây Nguyên",237.5,233.3,243.4
"Kon Tum",24.4,24.2,24.0
"Gia Lai",75.2,72.8,74.6
"Đắk Lắk",93.4,93.9,101.5
"Đắk Nông",12.6,12.4,13.0
"Lâm Đồng",31.9,30.0,30.3
"Đông Nam Bộ",273.3,270.4,271.9
"Bình Phước",12.8,12.2,12.2
"Tây Ninh",144.5,144.6,147.9
"Bình Dương",7.6,7.3,7.2
"Đồng Nai",63.6,61.7,60.7
"Bà Rịa - Vũng Tàu",24.5,25.1,24.8
"TP.Hồ Chí Minh",20.3,19.5,19.1
"Đồng bằng sông Cửu Long",4301.5,4241.1,4185.3
"Long An",522.9,527.4,526.7
"Tiền Giang",224.7,215.5,210.8
"Bến Tre",63.0,41.5,54.9
"Trà Vinh",235.8,210.6,220.2
"Vĩnh Long",180.5,176.4,169.4
"Đồng Tháp",546.0,551.4,538.3
"An Giang",644.2,669.0,641.1
"Kiên Giang",769.5,765.9,735.3
"Cần Thơ",237.9,240.0,240.1
"Hậu Giang",207.1,202.2,206.6
"Sóc Trăng",362.7,356.6,348.2
"Bạc Liêu",180.6,172.4,180.6
"Cà Mau",126.6,112.2,113.1

