" ","2015","2016","2017"
"CẢ NƯỚC",3168.0,3128.9,3117.1
"Đồng bằng sông Hồng",553.0,546.1,536.2
"Hà Nội",101.0,99.4,96.9
"Vĩnh Phúc",30.8,31.2,31.3
"Bắc Ninh",36.0,35.6,34.9
"Quảng Ninh",17.0,17.0,16.5
"Hải Dương",61.8,60.7,59.4
"Hải Phòng",36.7,35.7,35.1
"Hưng Yên",38.7,37.1,35.4
"Thái Bình",80.1,79.7,79.1
"Hà Nam",33.1,32.4,32.0
"Nam Định",76.1,75.7,74.5
"Ninh Bình",41.7,41.6,41.1
"Trung du và miền núi phía Bắc",251.5,253.0,250.3
"Hà Giang",9.6,9.3,9.2
"Cao Bằng",3.3,3.6,3.6
"Bắc Kạn",9.1,9.3,9.0
"Tuyên Quang",20.2,20.0,19.8
"Lào Cai",10.0,10.1,10.1
"Yên Bái",19.4,19.8,19.6
"Thái Nguyên",30.5,30.7,30.3
"Lạng Sơn",15.4,16.2,15.7
"Bắc Giang",53.6,53.2,51.8
"Phú Thọ",37.2,37.1,37.0
"Điện Biên",8.8,9.0,9.1
"Lai Châu",6.4,6.4,6.7
"Sơn La",11.6,11.8,12.1
"Hoà Bình",16.4,16.5,16.3
"Bắc Trung Bộ và Duyên hải miền Trung",585.7,573.9,587.7
"Thanh Hoá",124.6,123.4,122.2
"Nghệ An",91.7,91.5,92.1
"Hà Tĩnh",57.9,58.2,58.9
"Quảng Bình",30.1,30.1,30.0
"Quảng Trị",25.6,25.7,25.8
"Thừa Thiên Huế",27.9,27.9,28.6
"Đà Nẵng",2.9,2.9,2.8
"Quảng Nam",43.5,43.0,42.7
"Quảng Ngãi",39.3,39.1,38.8
"Bình Định",48.1,48.5,47.3
"Phú Yên",26.9,26.9,26.8
"Khánh Hoà",20.0,19.5,20.0
"Ninh Thuận",12.8,14.8,16.7
"Bình Thuận",34.4,22.4,35.0
"Tây Nguyên",84.8,79.1,86.5
"Kon Tum",7.6,7.4,7.1
"Gia Lai",26.3,23.4,25.0
"Đắk Lắk",35.7,34.2,39.6
"Đắk Nông",4.7,4.4,4.9
"Lâm Đồng",10.5,9.7,9.9
"Đông Nam Bộ",75.5,74.9,77.3
"Bình Phước",3.2,3.1,3.3
"Tây Ninh",44.4,43.2,44.6
"Bình Dương",2.4,2.2,2.3
"Đồng Nai",14.5,14.7,15.0
"Bà Rịa - Vũng Tàu",6.1,6.5,6.7
"TP.Hồ Chí Minh",4.9,5.2,5.4
"Đồng bằng sông Cửu Long",1617.5,1601.9,1579.1
"Long An",233.9,232.5,234.2
"Tiền Giang",75.1,74.2,71.6
"Bến Tre",17.2,15.1,15.7
"Trà Vinh",68.9,68.8,59.9
"Vĩnh Long",61.0,61.2,59.0
"Đồng Tháp",204.9,208.8,208.9
"An Giang",238.6,239.3,236.2
"Kiên Giang",307.3,301.0,298.8
"Cần Thơ",87.3,86.7,85.4
"Hậu Giang",80.0,79.4,77.9
"Sóc Trăng",196.7,189.3,183.9
"Bạc Liêu",46.6,45.6,46.3
"Cà Mau",..,..,1.3

