" ","2015","2016","2017"
"CẢ NƯỚC",2869.1,2872.9,2876.7
"Bắc Trung Bộ và Duyên hải miền Trung",328.6,337.9,360.1
"Nghệ An",55.6,54.6,59.5
"Hà Tĩnh",42.0,44.0,44.5
"Quảng Bình",23.5,24.3,24.8
"Quảng Trị",20.1,22.2,22.5
"Thừa Thiên Huế",25.9,26.0,25.6
"Ðà Nẵng",..,..,..
"Quảng Nam",..,..,..
"Quảng Ngãi",33.8,34.3,34.3
"Bình Ðịnh",42.3,40.6,43.6
"Phú Yên",24.5,24.8,24.9
"Khánh Hoà",8.8,13.6,18.5
"Ninh Thuận",11.6,12.4,17.0
"Bình Thuận",40.5,41.1,44.9
"Tây Nguyên",6.4,5.6,6.1
"Lâm Ðồng",6.4,5.6,6.1
"Ðông Nam Bộ",90.0,87.9,88.6
"Tây Ninh",49.2,49.5,50.4
"Bình Dương",1.7,1.6,1.5
"Ðồng Nai",23.7,21.9,22.0
"Bà Rịa - Vũng Tàu",8.2,8.4,8.6
"TP.Hồ Chí Minh",7.2,6.5,6.1
"Ðồng bằng sông Cửu Long",2444.1,2441.5,2421.9
"Long An",283.9,292.6,290.3
"Tiền Giang",149.6,141.2,139.2
"Bến Tre",17.9,16.6,30.8
"Trà Vinh",164.3,139.4,157.9
"Vĩnh Long",119.5,115.3,110.4
"Ðồng Tháp",341.1,342.6,329.4
"An Giang",400.3,424.7,399.9
"Kiên Giang",399.2,404.8,389.1
"Cần Thơ",150.6,153.3,154.7
"Hậu Giang",127.1,122.8,128.7
"Sóc Trăng",152.4,153.3,151.8
"Bạc Liêu",101.8,97.8,103.0
"Cà Mau",36.4,37.1,36.7

