" ","2015","2016","2017"
"CẢ NƯỚC",1790.9,1735.3,1711.4
"Đồng bằng sông Hồng",557.9,548.3,535.2
"Hà Nội",99.6,97.7,93.0
"Vĩnh Phúc",27.6,27.2,26.6
"Bắc Ninh",35.9,35.2,34.2
"Quảng Ninh",25.5,25.3,25.1
"Hải Dương",60.9,59.6,58.8
"Hải Phòng",39.1,38.3,37.2
"Hưng Yên",38.8,37.0,35.0
"Thái Bình",80.9,80.4,79.6
"Hà Nam",33.7,33.2,32.5
"Nam Định",78.3,77.3,76.6
"Ninh Bình",37.6,37.1,36.6
"Trung du và miền núi phía Bắc",432.8,429.6,429.5
"Hà Giang",27.2,28.2,28.3
"Cao Bằng",27.2,25.3,26.8
"Bắc Kạn",15.5,15.0,15.0
"Tuyên Quang",25.4,25.1,25.3
"Lào Cai",20.7,21.5,22.2
"Yên Bái",21.9,23.0,22.9
"Thái Nguyên",41.9,41.3,40.8
"Lạng Sơn",34.4,33.9,33.8
"Bắc Giang",57.9,56.3,55.0
"Phú Thọ",32.2,30.6,30.1
"Điện Biên",40.6,41.1,41.1
"Lai Châu",24.5,25.0,26.2
"Sơn La",40.5,39.9,38.9
"Hoà Bình",22.9,23.4,23.1
"Bắc Trung Bộ và Duyên hải miền Trung",306.2,303.5,305.6
"Thanh Hoá",132.4,130.5,128.3
"Nghệ An",39.3,39.9,37.0
"Hà Tĩnh",1.8,1.2,0.7
"Quảng Bình",0.5,0.6,0.6
"Quảng Trị",2.0,1.9,2.0
"Thừa Thiên Huế",0.6,0.6,0.7
"Đà Nẵng",2.5,2.5,2.4
"Quảng Nam",45.0,43.7,44.1
"Quảng Ngãi",2.6,2.4,2.4
"Bình Định",15.3,13.4,14.2
"Phú Yên",5.8,5.8,5.2
"Khánh Hoà",5.4,6.8,9.0
"Ninh Thuận",12.9,14.2,14.7
"Bình Thuận",40.1,40.0,44.3
"Tây Nguyên",146.3,148.6,150.8
"Kon Tum",16.8,16.8,16.9
"Gia Lai",48.9,49.4,49.6
"Đắk Lắk",57.7,59.7,61.9
"Đắk Nông",7.9,8.0,8.1
"Lâm Đồng",15.0,14.7,14.3
"Đông Nam Bộ",107.8,107.6,106.0
"Bình Phước",9.6,9.1,8.9
"Tây Ninh",50.9,51.9,52.9
"Bình Dương",3.5,3.5,3.4
"Đồng Nai",25.4,25.1,23.7
"Bà Rịa - Vũng Tàu",10.2,10.2,9.5
"TP.Hồ Chí Minh",8.2,7.8,7.6
"Đồng bằng sông Cửu Long",239.9,197.7,184.3
"Long An",5.1,2.3,2.2
"Tiền Giang",..,..,..
"Bến Tre",27.9,9.8,8.4
"Trà Vinh",2.6,2.4,2.4
"Vĩnh Long",..,..,..
"Đồng Tháp",..,..,..
"An Giang",5.3,5.0,5.0
"Kiên Giang",63.0,60.1,47.4
"Cần Thơ",..,..,..
"Hậu Giang",..,..,..
"Sóc Trăng",13.6,14.1,12.5
"Bạc Liêu",32.2,28.9,31.3
"Cà Mau",90.2,75.1,75.1

