" ","2015","2016","2017"
"CẢ NƯỚC",1178.9,1152.7,1099.5
"Đồng bằng sông Hồng",91.3,89.8,87.5
"Hà Nội",21.1,19.9,19.1
"Vĩnh Phúc",16.1,16.0,15.1
"Bắc Ninh",3.6,3.1,2.4
"Quảng Ninh",5.9,5.8,5.7
"Hải Dương",4.0,4.2,4.2
"Hải Phòng",1.1,1.2,1.0
"Hưng Yên",8.5,8.1,7.8
"Thái Bình",11.1,12.1,13.1
"Hà Nam",8.7,8.4,8.3
"Nam Định",4.4,4.4,4.7
"Ninh Bình",6.8,6.6,6.1
"Trung du và miền núi phía Bắc",518.9,509.5,490.1
"Hà Giang",54.8,53.5,53.7
"Cao Bằng",39.9,40.1,40.2
"Bắc Kạn",16.4,16.4,15.8
"Tuyên Quang",18.6,18.4,18.6
"Lào Cai",36.8,37.6,38.1
"Yên Bái",28.2,28.6,28.2
"Thái Nguyên",21.0,20.1,17.8
"Lạng Sơn",22.1,22.2,21.3
"Bắc Giang",10.7,10.7,10.7
"Phú Thọ",19.2,18.7,18.2
"Điện Biên",29.7,30.0,30.6
"Lai Châu",22.7,22.8,22.1
"Sơn La",159.9,152.4,138.1
"Hoà Bình",38.9,38.0,36.7
"Bắc Trung Bộ và Duyên hải miền Trung",210.4,207.6,200.2
"Thanh Hoá",56.8,52.9,50.5
"Nghệ An",58.9,58.7,56.0
"Hà Tĩnh",8.7,9.6,7.7
"Quảng Bình",4.7,4.9,4.9
"Quảng Trị",3.9,4.1,4.2
"Thừa Thiên Huế",1.6,1.6,1.7
"Đà Nẵng",0.4,0.5,0.4
"Quảng Nam",13.1,12.6,12.6
"Quảng Ngãi",10.2,10.4,10.6
"Bình Định",8.7,8.4,8.2
"Phú Yên",5.9,5.8,5.5
"Khánh Hoà",6.1,6.4,6.6
"Ninh Thuận",11.8,11.7,12.9
"Bình Thuận",19.6,20.0,18.4
"Tây Nguyên",241.3,235.3,216.4
"Kon Tum",6.4,6.4,6.2
"Gia Lai",51.6,52.0,47.4
"Đắk Lắk",118.4,112.4,100.3
"Đắk Nông",51.0,51.7,50.5
"Lâm Đồng",13.9,12.8,12.0
"Đông Nam Bộ",78.8,75.7,70.2
"Bình Phước",4.9,4.5,4.5
"Tây Ninh",5.0,4.4,4.9
"Bình Dương",0.4,0.4,0.4
"Đồng Nai",52.2,51.5,46.2
"Bà Rịa - Vũng Tàu",15.4,14.4,13.7
"TP.Hồ Chí Minh",0.9,0.5,0.5
"Đồng bằng sông Cửu Long",38.2,34.8,35.1
"Long An",4.2,2.4,1.4
"Tiền Giang",4.4,4.1,4.5
"Bến Tre",0.7,0.6,0.6
"Trà Vinh",5.5,4.3,4.2
"Vĩnh Long",1.2,1.3,1.4
"Đồng Tháp",4.6,4.8,5.2
"An Giang",8.6,8.1,8.3
"Kiên Giang",0.2,0.2,0.3
"Cần Thơ",1.1,1.1,1.1
"Hậu Giang",2.9,3.2,3.2
"Sóc Trăng",4.1,4.0,4.2
"Bạc Liêu",0.2,0.2,0.2
"Cà Mau",0.5,0.5,0.5

