" ","2015","2016","2017"
"CẢ NƯỚC",567.9,569.0,532.6
"Hà Nội",1.8,1.6,1.2
"Hà Giang",4.6,5.0,5.0
"Cao Bằng",4.0,3.5,2.9
"Bắc Kạn",3.0,2.4,1.8
"Tuyên Quang",4.6,4.4,3.9
"Lào Cai",8.9,8.8,8.4
"Yên Bái",15.8,14.8,12.7
"Thái Nguyên",3.4,3.4,2.9
"Lạng Sơn",4.5,3.9,2.8
"Bắc Giang",5.0,4.3,3.5
"Phú Thọ",8.3,8.3,7.7
"Điện Biên",7.7,7.4,7.6
"Lai Châu",4.4,4.4,4.5
"Sơn La",31.2,32.8,32.2
"Hoà Bình",11.7,11.2,10.0
"Thanh Hoá",17.8,18.0,15.1
"Nghệ An",17.4,19.3,15.5
"Hà Tĩnh",4.1,3.1,2.9
"Quảng Bình",6.3,6.9,6.4
"Quảng Trị",12.7,13.0,12.3
"Thừa Thiên Huế",7.1,7.1,6.7
"Quảng Nam",12.8,12.6,11.7
"Quảng Ngãi",19.8,19.6,18.4
"Bình Định",13.6,12.8,11.6
"Phú Yên",23.0,25.2,23.1
"Khánh Hoà",5.8,5.4,4.9
"Bình Thuận",30.9,31.2,28.2
"Kon Tum",39.5,39.1,38.6
"Gia Lai",63.7,64.8,65.8
"Đắk Lắk",35.2,35.9,36.3
"Đắk Nông",18.4,15.4,13.1
"Bình Phước",17.7,17.0,15.9
"Tây Ninh",57.6,61.6,55.9
"Bình Dương",4.8,4.8,4.7
"Đồng Nai",15.8,15.7,14.6
"Bà Rịa - Vũng Tàu",8.6,8.7,8.5
"Long An",1.2,1.2,1.6
"Vĩnh Long",0.2,0.2,0.2
"An Giang",0.7,1.3,1.4
"Kiên Giang",0.9,0.7,0.7

