" ","2015","2016","2017"
"CẢ NƯỚC",57.6,55.8,55.5
"Đồng bằng sông Hồng",60.6,59.8,56.8
"Hà Nội",58.3,56.3,55.4
"Vĩnh Phúc",55.9,50.4,55.3
"Bắc Ninh",61.9,62.0,60.0
"Quảng Ninh",49.9,50.1,47.1
"Hải Dương",60.3,60.4,55.7
"Hải Phòng",63.1,62.9,60.4
"Hưng Yên",62.0,61.7,59.5
"Thái Bình",66.0,65.8,59.4
"Hà Nam",60.7,60.3,56.8
"Nam Định",60.6,60.4,55.7
"Ninh Bình",59.9,59.5,56.2
"Trung du và miền núi phía Bắc",48.8,49.9,49.1
"Hà Giang",55.3,56.1,56.4
"Cao Bằng",42.5,43.2,43.7
"Bắc Kạn",47.7,48.6,46.8
"Tuyên Quang",58.4,58.6,58.3
"Lào Cai",48.9,50.1,49.2
"Yên Bái",50.3,50.0,49.8
"Thái Nguyên",52.7,53.4,53.4
"Lạng Sơn",42.3,43.6,41.6
"Bắc Giang",55.5,57.4,57.0
"Phú Thọ",53.4,55.1,54.8
"Điện Biên",35.4,35.0,35.5
"Lai Châu",43.0,43.4,44.3
"Sơn La",34.0,35.4,35.3
"Hoà Bình",49.8,54.1,45.8
"Bắc Trung Bộ và Duyên hải miền Trung",56.2,56.3,55.8
"Thanh Hoá",57.4,58.8,58.4
"Nghệ An",52.5,54.2,53.8
"Hà Tĩnh",51.3,51.3,42.5
"Quảng Bình",50.9,51.2,51.4
"Quảng Trị",50.2,52.8,48.4
"Thừa Thiên Huế",58.7,59.5,59.6
"Đà Nẵng",58.5,59.6,60.4
"Quảng Nam",52.1,50.9,53.1
"Quảng Ngãi",56.5,54.9,58.1
"Bình Định",62.2,62.3,63.4
"Phú Yên",66.1,65.4,65.8
"Khánh Hoà",58.4,56.9,53.6
"Ninh Thuận",60.2,51.2,57.1
"Bình Thuận",57.8,57.8,57.8
"Tây Nguyên",50.9,50.3,54.1
"Kon Tum",37.5,36.0,38.0
"Gia Lai",44.3,43.8,47.6
"Đắk Lắk",59.5,58.6,63.4
"Đắk Nông",58.0,58.4,57.4
"Lâm Đồng",49.0,48.5,50.0
"Đông Nam Bộ",50.4,50.6,51.4
"Bình Phước",33.1,32.3,32.5
"Tây Ninh",52.7,52.6,53.3
"Bình Dương",41.3,41.9,42.5
"Đồng Nai",53.0,53.7,54.2
"Bà Rịa - Vũng Tàu",47.3,48.1,49.2
"TP.Hồ Chí Minh",43.5,43.7,45.2
"Đồng bằng sông Cửu Long",59.5,56.2,56.4
"Long An",55.8,53.1,50.2
"Tiền Giang",59.8,58.8,59.3
"Bến Tre",44.3,21.1,41.4
"Trà Vinh",56.8,45.4,51.7
"Vĩnh Long",60.6,53.2,55.6
"Đồng Tháp",62.0,61.6,59.6
"An Giang",63.2,59.4,60.5
"Kiên Giang",60.3,54.3,55.2
"Cần Thơ",59.2,58.2,57.8
"Hậu Giang",62.4,60.9,61.0
"Sóc Trăng",62.7,60.9,60.5
"Bạc Liêu",58.9,57.6,59.0
"Cà Mau",36.7,40.3,39.4

