" ","2015","2016","2017"
"CẢ NƯỚC",66.6,62.8,62.3
"Đồng bằng sông Hồng",65.8,65.6,65.9
"Hà Nội",61.1,60.9,61.3
"Vĩnh Phúc",59.8,58.6,61.1
"Bắc Ninh",65.9,65.0,64.4
"Quảng Ninh",54.9,54.4,54.8
"Hải Dương",64.5,64.6,65.1
"Hải Phòng",69.4,69.5,69.5
"Hưng Yên",66.1,65.9,65.9
"Thái Bình",71.6,71.5,71.7
"Hà Nam",66.5,66.5,66.8
"Nam Định",69.2,69.4,69.4
"Ninh Bình",66.0,66.2,66.1
"Trung du và miền núi phía Bắc",56.6,57.5,57.5
"Hà Giang",55.7,56.6,57.2
"Cao Bằng",51.5,51.1,50.6
"Bắc Kạn",54.9,55.1,54.9
"Tuyên Quang",59.7,59.9,59.8
"Lào Cai",56.4,57.4,57.8
"Yên Bái",54.3,54.5,54.7
"Thái Nguyên",54.9,55.0,55.6
"Lạng Sơn",51.8,52.5,52.0
"Bắc Giang",59.2,60.2,60.4
"Phú Thọ",57.1,59.8,59.9
"Điện Biên",60.9,58.2,58.5
"Lai Châu",54.7,55.3,53.7
"Sơn La",55.3,58.0,57.6
"Hoà Bình",54.9,57.4,56.4
"Bắc Trung Bộ và Duyên hải miền Trung",61.4,61.5,61.1
"Thanh Hoá",63.0,64.4,65.0
"Nghệ An",62.1,65.7,65.9
"Hà Tĩnh",54.0,56.5,41.1
"Quảng Bình",59.8,60.1,61.5
"Quảng Trị",54.1,56.9,56.7
"Thừa Thiên Huế",60.1,60.8,62.3
"Đà Nẵng",59.0,59.3,62.5
"Quảng Nam",55.3,51.0,56.4
"Quảng Ngãi",58.8,53.6,59.5
"Bình Định",68.6,66.0,67.7
"Phú Yên",72.7,67.7,69.1
"Khánh Hoà",63.8,62.1,59.6
"Ninh Thuận",67.0,65.2,63.2
"Bình Thuận",63.3,63.9,62.4
"Tây Nguyên",56.8,53.7,61.3
"Kon Tum",47.1,41.6,46.3
"Gia Lai",50.7,47.5,56.4
"Đắk Lắk",64.5,61.3,69.7
"Đắk Nông",61.5,58.9,60.0
"Lâm Đồng",51.0,48.6,51.3
"Đông Nam Bộ",56.2,56.4,56.8
"Bình Phước",34.4,29.7,32.7
"Tây Ninh",57.5,58.0,57.9
"Bình Dương",47.9,49.5,48.7
"Đồng Nai",60.8,60.7,61.5
"Bà Rịa - Vũng Tàu",57.5,57.5,60.1
"TP.Hồ Chí Minh",48.2,49.0,49.1
"Đồng bằng sông Cửu Long",71.3,63.9,62.6
"Long An",67.1,60.5,55.9
"Tiền Giang",72.0,67.8,65.7
"Bến Tre",50.9,0.5,44.2
"Trà Vinh",68.1,40.4,59.0
"Vĩnh Long",71.6,63.8,60.0
"Đồng Tháp",70.4,68.0,60.0
"An Giang",75.6,71.9,70.3
"Kiên Giang",72.4,61.5,60.2
"Cần Thơ",73.9,71.0,65.2
"Hậu Giang",77.3,70.0,68.2
"Sóc Trăng",68.5,62.4,64.5
"Bạc Liêu",72.8,67.7,72.0
"Cà Mau",..,..,30.0

