" ","2015","2016","2017"
"CẢ NƯỚC",53.5,53.0,53.7
"Bắc Trung Bộ và Duyên hải miền Trung",54.2,55.0,54.2
"Nghệ An",49.5,49.5,48.7
"Hà Tĩnh",48.5,45.4,44.9
"Quảng Bình",40.3,41.0,40.2
"Quảng Trị",49.3,51.8,42.3
"Thừa Thiên Huế",58.2,59.2,57.8
"Ðà Nẵng",..,..,..
"Quảng Nam",..,..,..
"Quảng Ngãi",55.9,58.3,58.6
"Bình Ðịnh",61.4,63.9,64.3
"Phú Yên",66.4,70.4,68.8
"Khánh Hoà",56.9,58.8,57.4
"Ninh Thuận",63.4,60.9,59.1
"Bình Thuận",55.3,56.3,57.8
"Tây Nguyên",50.0,52.0,52.8
"Lâm Ðồng",50.0,52.0,52.8
"Ðông Nam Bộ",49.4,50.0,50.9
"Tây Ninh",51.0,51.4,52.6
"Bình Dương",37.6,38.1,40.0
"Ðồng Nai",50.5,51.7,51.5
"Bà Rịa - Vũng Tàu",44.4,45.0,45.6
"TP.Hồ Chí Minh",43.8,43.2,45.1
"Ðồng bằng sông Cửu Long",53.5,52.9,53.8
"Long An",46.9,47.5,45.7
"Tiền Giang",53.7,54.2,55.9
"Bến Tre",40.1,40.1,41.6
"Trà Vinh",52.3,47.9,49.0
"Vĩnh Long",55.0,47.5,53.3
"Ðồng Tháp",56.9,57.7,59.3
"An Giang",56.2,52.6,55.1
"Kiên Giang",53.5,54.4,54.6
"Cần Thơ",50.7,51.0,53.7
"Hậu Giang",53.1,55.0,56.7
"Sóc Trăng",56.3,56.4,56.3
"Bạc Liêu",57.4,57.6,56.6
"Cà Mau",41.8,44.8,42.6

