" ","2015","2016","2017"
"CẢ NƯỚC",48.3,47.8,45.9
"Đồng bằng sông Hồng",55.4,54.0,47.6
"Hà Nội",55.5,51.6,49.1
"Vĩnh Phúc",51.6,41.1,48.6
"Bắc Ninh",57.8,59.0,55.6
"Quảng Ninh",46.5,47.2,42.0
"Hải Dương",56.0,56.1,46.2
"Hải Phòng",57.2,56.7,51.9
"Hưng Yên",57.9,57.6,53.0
"Thái Bình",60.4,60.1,47.2
"Hà Nam",55.1,54.2,47.0
"Nam Định",52.2,51.5,42.4
"Ninh Bình",53.3,52.0,45.1
"Trung du và miền núi phía Bắc",44.2,45.4,44.2
"Hà Giang",55.1,56.0,56.1
"Cao Bằng",41.4,42.1,42.7
"Bắc Kạn",43.5,44.6,41.9
"Tuyên Quang",57.4,57.6,57.1
"Lào Cai",45.3,46.7,45.2
"Yên Bái",46.7,46.2,45.5
"Thái Nguyên",51.1,52.3,51.7
"Lạng Sơn",38.0,39.3,36.8
"Bắc Giang",52.1,54.8,53.9
"Phú Thọ",49.0,49.5,48.6
"Điện Biên",29.9,29.9,30.4
"Lai Châu",39.9,40.4,41.9
"Sơn La",28.0,28.7,28.4
"Hoà Bình",46.2,51.8,38.4
"Bắc Trung Bộ và Duyên hải miền Trung",48.1,47.9,47.7
"Thanh Hoá",52.1,53.5,52.1
"Nghệ An",34.1,34.1,32.1
"Hà Tĩnh",26.1,15.0,15.7
"Quảng Bình",16.0,11.7,6.7
"Quảng Trị",9.5,10.0,10.0
"Thừa Thiên Huế",16.7,16.7,15.7
"Đà Nẵng",58.0,60.0,57.9
"Quảng Nam",49.1,50.9,50.0
"Quảng Ngãi",28.8,28.8,28.3
"Bình Định",44.4,44.2,46.3
"Phú Yên",34.0,33.8,34.6
"Khánh Hoà",41.1,38.5,32.7
"Ninh Thuận",50.5,28.0,48.0
"Bình Thuận",55.7,56.0,54.1
"Tây Nguyên",47.6,48.5,50.0
"Kon Tum",33.2,33.5,34.4
"Gia Lai",40.8,42.1,43.1
"Đắk Lắk",56.4,57.1,59.4
"Đắk Nông",55.9,58.1,55.8
"Lâm Đồng",47.1,47.1,47.9
"Đông Nam Bộ",47.0,46.9,47.8
"Bình Phước",32.7,33.2,32.4
"Tây Ninh",50.1,49.1,50.3
"Bình Dương",38.6,38.9,39.4
"Đồng Nai",50.9,51.4,52.2
"Bà Rịa - Vũng Tàu",43.6,44.6,44.8
"TP.Hồ Chí Minh",40.5,40.5,42.6
"Đồng bằng sông Cửu Long",40.6,35.2,37.9
"Long An",35.3,23.9,28.2
"Tiền Giang",..,..,..
"Bến Tre",42.8,20.7,35.5
"Trà Vinh",42.7,44.6,44.6
"Vĩnh Long",..,..,..
"Đồng Tháp",..,..,..
"An Giang",36.2,40.2,34.4
"Kiên Giang",45.0,17.9,28.8
"Cần Thơ",..,..,..
"Hậu Giang",..,..,..
"Sóc Trăng",51.0,88.5,51.2
"Bạc Liêu",43.6,41.8,47.6
"Cà Mau",34.7,38.1,38.1

