" ","2015","2016","2017"
"CẢ NƯỚC",44.8,45.5,46.5
"Đồng bằng sông Hồng",48.1,48.1,49.2
"Hà Nội",48.6,48.8,49.4
"Vĩnh Phúc",43.2,41.6,43.4
"Bắc Ninh",48.6,50.0,51.7
"Quảng Ninh",39.3,40.5,40.9
"Hải Dương",53.5,54.0,55.5
"Hải Phòng",52.7,49.2,53.0
"Hưng Yên",57.8,58.1,59.0
"Thái Bình",55.3,54.5,54.1
"Hà Nam",54.1,52.9,54.6
"Nam Định",44.5,44.8,46.2
"Ninh Bình",31.6,35.9,36.4
"Trung du và miền núi phía Bắc",36.9,38.1,38.8
"Hà Giang",34.0,34.6,34.7
"Cao Bằng",33.5,34.3,35.8
"Bắc Kạn",41.3,40.5,40.5
"Tuyên Quang",43.5,43.7,43.9
"Lào Cai",36.2,36.9,38.5
"Yên Bái",33.0,33.4,33.5
"Thái Nguyên",41.9,42.8,44.6
"Lạng Sơn",47.2,48.7,49.4
"Bắc Giang",39.5,40.2,40.2
"Phú Thọ",46.6,46.6,47.8
"Điện Biên",25.7,26.2,26.2
"Lai Châu",29.1,30.7,33.0
"Sơn La",36.8,39.3,40.7
"Hoà Bình",41.8,43.2,41.9
"Bắc Trung Bộ và Duyên hải miền Trung",44.2,45.3,45.7
"Thanh Hoá",43.2,44.0,44.6
"Nghệ An",40.0,42.6,43.2
"Hà Tĩnh",37.0,37.0,36.9
"Quảng Bình",49.6,51.0,51.8
"Quảng Trị",30.0,31.5,33.3
"Thừa Thiên Huế",39.4,39.4,39.4
"Đà Nẵng",52.5,52.0,60.0
"Quảng Nam",43.8,46.2,46.7
"Quảng Ngãi",55.2,56.5,57.5
"Bình Định",57.2,58.8,59.8
"Phú Yên",40.3,38.8,40.7
"Khánh Hoà",21.1,23.0,21.2
"Ninh Thuận",41.3,38.9,39.3
"Bình Thuận",63.0,62.9,62.3
"Tây Nguyên",53.7,53.5,56.5
"Kon Tum",37.8,38.9,40.2
"Gia Lai",42.5,41.9,44.6
"Đắk Lắk",55.2,55.1,59.3
"Đắk Nông",63.6,63.6,64.4
"Lâm Đồng",53.5,54.1,54.6
"Đông Nam Bộ",62.4,63.6,63.1
"Bình Phước",38.2,38.2,38.0
"Tây Ninh",55.2,55.7,56.5
"Bình Dương",17.5,20.0,20.0
"Đồng Nai",70.9,71.7,71.8
"Bà Rịa - Vũng Tàu",46.6,47.3,46.6
"TP.Hồ Chí Minh",35.6,36.0,36.0
"Đồng bằng sông Cửu Long",57.5,55.6,57.0
"Long An",69.0,48.8,64.3
"Tiền Giang",35.9,36.1,35.8
"Bến Tre",37.1,38.3,35.0
"Trà Vinh",54.5,52.3,52.9
"Vĩnh Long",24.2,23.1,24.3
"Đồng Tháp",76.7,77.9,80.6
"An Giang",74.1,75.2,76.0
"Kiên Giang",65.0,60.0,56.7
"Cần Thơ",50.0,52.7,50.9
"Hậu Giang",49.3,46.6,47.2
"Sóc Trăng",40.0,39.8,40.2
"Bạc Liêu",40.0,40.0,40.0
"Cà Mau",38.0,44.0,46.0

