" ","2015","2016","2017"
"CẢ NƯỚC",549.5,522.3,510.8
"Đồng bằng sông Hồng",342.8,330.4,305.2
"Hà Nội",176.6,165.0,154.4
"Vĩnh Phúc",375.4,338.7,357.4
"Bắc Ninh",400.4,385.8,351.6
"Quảng Ninh",194.3,191.9,176.1
"Hải Dương",429.1,419.4,379.0
"Hải Phòng",246.6,237.8,221.3
"Hưng Yên",454.9,431.1,395.0
"Thái Bình",627.8,625.8,565.8
"Hà Nam",564.0,547.5,511.0
"Nam Định",516.0,509.4,466.0
"Ninh Bình",526.1,515.9,477.4
"Trung du và miền núi phía Bắc",443.4,445.3,431.1
"Hà Giang",486.7,482.3,477.3
"Cao Bằng",501.5,495.0,516.5
"Bắc Kạn",591.2,578.7,545.4
"Tuyên Quang",456.8,449.5,445.4
"Lào Cai",420.0,433.9,439.8
"Yên Bái",379.2,386.9,379.0
"Thái Nguyên",386.2,378.6,365.6
"Lạng Sơn",414.1,424.9,398.9
"Bắc Giang",403.1,405.2,389.5
"Phú Thọ",335.5,333.2,326.6
"Điện Biên",458.2,455.5,455.4
"Lai Châu",468.4,474.1,490.3
"Sơn La",645.2,646.8,605.1
"Hoà Bình",434.8,457.2,398.6
"Bắc Trung Bộ và Duyên hải miền Trung",395.7,393.1,397.1
"Thanh Hoá",490.0,489.2,476.4
"Nghệ An",394.3,405.0,401.5
"Hà Tĩnh",439.0,446.8,370.4
"Quảng Bình",342.5,349.7,351.8
"Quảng Trị",405.0,442.5,410.3
"Thừa Thiên Huế",285.2,287.4,289.4
"Đà Nẵng",32.8,33.3,31.8
"Quảng Nam",350.5,336.2,348.1
"Quảng Ngãi",388.1,378.8,395.4
"Bình Định",465.5,451.5,467.9
"Phú Yên",449.9,443.3,438.7
"Khánh Hoà",176.5,199.2,219.9
"Ninh Thuận",458.7,428.0,539.9
"Bình Thuận",648.9,592.1,676.5
"Tây Nguyên",446.8,427.8,439.2
"Kon Tum",233.5,222.7,225.4
"Gia Lai",395.3,378.8,394.0
"Đắk Lắk",652.3,623.9,653.0
"Đắk Nông",676.2,659.5,636.7
"Lâm Đồng",181.1,167.4,167.3
"Đông Nam Bộ",116.1,112.7,109.9
"Bình Phước",65.1,59.5,58.6
"Tây Ninh",709.3,701.3,725.1
"Bình Dương",16.6,15.8,15.2
"Đồng Nai",244.0,236.5,218.3
"Bà Rịa - Vũng Tàu",174.0,173.2,168.7
"TP.Hồ Chí Minh",11.3,10.5,10.4
"Đồng bằng sông Cửu Long",1467.8,1360.0,1342.3
"Long An",1986.4,1888.0,1771.9
"Tiền Giang",787.1,737.4,722.4
"Bến Tre",222.7,71.1,181.0
"Trà Vinh",1337.6,940.7,1109.1
"Vĩnh Long",1050.3,898.1,900.7
"Đồng Tháp",2030.4,2035.3,1921.9
"An Giang",1917.0,1868.5,1823.9
"Kiên Giang",2637.2,2343.1,2265.2
"Cần Thơ",1132.7,1111.7,1094.3
"Hậu Giang",1697.0,1612.9,1647.4
"Sóc Trăng",1763.3,1666.3,1614.6
"Bạc Liêu",1186.2,1121.5,1191.7
"Cà Mau",383.2,371.4,365.6

