" ","2015","2016","2017"
"CẢ NƯỚC",50379.5,48416.2,47852.2
"Đồng bằng sông Hồng",7168.2,6977.9,6514.0
"Hà Nội",1272.0,1206.6,1145.5
"Vĩnh Phúc",395.9,361.1,385.8
"Bắc Ninh",462.3,454.7,427.3
"Quảng Ninh",235.2,235.4,219.3
"Hải Dương",761.4,749.0,681.2
"Hải Phòng",484.0,471.0,442.0
"Hưng Yên",529.6,504.5,464.6
"Thái Bình",1123.4,1120.1,1013.7
"Hà Nam",452.7,440.0,411.7
"Nam Định",954.8,943.8,863.7
"Ninh Bình",496.9,491.7,459.2
"Trung du và miền núi phía Bắc",5249.3,5345.2,5236.7
"Hà Giang",390.2,395.7,397.9
"Cao Bằng",263.1,262.4,276.5
"Bắc Kạn",185.1,184.6,176.3
"Tuyên Quang",347.3,344.7,344.5
"Lào Cai",283.3,296.9,305.4
"Yên Bái",300.7,309.6,306.0
"Thái Nguyên",469.3,470.9,458.8
"Lạng Sơn",314.9,326.6,311.1
"Bắc Giang",661.3,671.6,652.2
"Phú Thọ",459.9,460.4,454.9
"Điện Biên",251.0,253.9,258.2
"Lai Châu",198.8,206.3,218.7
"Sơn La",766.0,781.5,741.8
"Hoà Bình",358.4,380.1,334.4
"Bắc Trung Bộ và Duyên hải miền Trung",7784.8,7783.0,7913.2
"Thanh Hoá",1720.8,1726.2,1688.4
"Nghệ An",1214.4,1257.6,1257.1
"Hà Tĩnh",553.7,565.9,471.2
"Quảng Bình",299.1,306.9,310.5
"Quảng Trị",251.1,275.9,257.4
"Thừa Thiên Huế",325.7,330.5,334.1
"Đà Nẵng",33.8,34.8,33.8
"Quảng Nam",518.6,499.9,520.0
"Quảng Ngãi",483.7,475.1,499.7
"Bình Định",707.6,688.3,715.4
"Phú Yên",401.9,398.7,396.8
"Khánh Hoà",212.7,241.8,268.7
"Ninh Thuận",273.4,257.4,327.7
"Bình Thuận",788.3,724.0,832.4
"Tây Nguyên",2505.5,2436.1,2539.3
"Kon Tum",115.8,113.1,117.2
"Gia Lai",552.5,536.9,566.4
"Đắk Lắk",1209.2,1169.5,1238.5
"Đắk Nông",397.5,401.3,399.9
"Lâm Đồng",230.5,215.3,217.3
"Đông Nam Bộ",1868.4,1849.3,1839.7
"Bình Phước",61.5,56.9,56.8
"Tây Ninh",788.4,784.6,816.6
"Bình Dương",32.1,31.5,31.4
"Đồng Nai",707.0,700.5,660.8
"Bà Rịa - Vũng Tàu",187.8,188.8,185.9
"TP.Hồ Chí Minh",91.6,87.0,88.2
"Đồng bằng sông Cửu Long",25803.3,24024.7,23809.3
"Long An",2947.7,2813.9,2652.2
"Tiền Giang",1360.2,1283.1,1265.5
"Bến Tre",281.4,89.9,229.3
"Trà Vinh",1369.5,978.8,1159.6
"Vĩnh Long",1097.6,941.7,945.9
"Đồng Tháp",3419.8,3434.1,3248.7
"An Giang",4137.5,4035.7,3942.7
"Kiên Giang",4644.2,4162.9,4060.5
"Cần Thơ",1413.7,1403.6,1392.8
"Hậu Giang",1307.4,1246.0,1276.1
"Sóc Trăng",2291.9,2187.0,2122.0
"Bạc Liêu",1065.3,993.9,1065.7
"Cà Mau",467.1,454.1,448.3

