" ","2015","2016","2017"
"CẢ NƯỚC",1335.9,1269.3,1352.8
"Đồng bằng sông Hồng",201.8,176.7,169.9
"Hà Nội",39.0,34.7,33.4
"Vĩnh Phúc",26.3,21.2,21.6
"Bắc Ninh",5.8,3.4,2.5
"Quảng Ninh",23.2,22.5,21.0
"Hải Dương",7.8,7.5,8.7
"Hải Phòng",9.6,8.3,7.8
"Hưng Yên",6.9,7.5,7.6
"Thái Bình",42.4,38.2,35.4
"Hà Nam",7.6,6.5,6.1
"Nam Định",14.9,13.7,13.2
"Ninh Bình",18.3,13.2,12.6
"Trung du và miền núi phía Bắc",225.6,214.8,216.4
"Hà Giang",10.4,9.1,10.2
"Cao Bằng",8.4,7.8,7.8
"Bắc Kạn",2.4,2.4,2.4
"Tuyên Quang",23.3,19.5,19.8
"Lào Cai",6.0,6.2,7.3
"Yên Bái",16.5,16.9,17.1
"Thái Nguyên",33.6,29.2,27.9
"Lạng Sơn",11.9,12.8,13.7
"Bắc Giang",62.3,61.0,60.7
"Phú Thọ",14.5,13.9,13.1
"Điện Biên",6.8,6.9,6.9
"Lai Châu",1.4,1.6,1.7
"Sơn La",1.5,1.6,2.0
"Hoà Bình",26.6,25.9,25.8
"Bắc Trung Bộ và Duyên hải miền Trung",235.9,216.7,201.8
"Thanh Hoá",58.4,52.6,53.5
"Nghệ An",40.8,34.5,26.4
"Hà Tĩnh",34.5,30.6,27.3
"Quảng Bình",26.3,26.5,25.5
"Quảng Trị",17.3,18.1,19.2
"Thừa Thiên Huế",15.4,14.1,12.9
"Đà Nẵng",2.1,2.1,2.1
"Quảng Nam",28.2,28.1,23.1
"Quảng Ngãi",4.0,2.2,2.5
"Bình Định",1.4,1.3,1.5
"Phú Yên",0.9,1.0,0.9
"Khánh Hoà",1.0,1.0,1.0
"Ninh Thuận",1.1,1.5,2.8
"Bình Thuận",4.5,3.1,3.1
"Tây Nguyên",170.1,196.0,213.2
"Kon Tum",1.0,1.2,1.3
"Gia Lai",14.8,16.0,22.7
"Đắk Lắk",39.3,56.1,69.7
"Đắk Nông",96.6,97.9,87.1
"Lâm Đồng",18.4,24.8,32.4
"Đông Nam Bộ",8.0,10.2,9.1
"Bình Phước",2.0,2.7,3.2
"Tây Ninh",0.1,0.0,0.2
"Bình Dương",1.6,1.5,1.4
"Đồng Nai",2.8,4.6,3.3
"Bà Rịa - Vũng Tàu",1.2,1.0,0.7
"TP.Hồ Chí Minh",0.3,0.4,0.3
"Đồng bằng sông Cửu Long",494.5,454.9,542.4
"Long An",0.4,0.9,0.7
"Tiền Giang",5.4,5.7,6.6
"Bến Tre",0.7,0.8,0.5
"Trà Vinh",22.0,18.9,19.0
"Vĩnh Long",310.4,294.3,358.0
"Đồng Tháp",87.6,66.3,94.3
"An Giang",3.4,4.8,4.8
"Kiên Giang",31.5,33.8,32.1
"Cần Thơ",0.2,0.2,0.1
"Hậu Giang",2.9,2.3,2.4
"Sóc Trăng",26.3,23.0,20.0
"Bạc Liêu",2.8,3.1,3.0
"Cà Mau",0.9,0.8,0.9

