" ","2015","2016","2017"
"CẢ NƯỚC",45091.0,43165.1,42738.9
"Đồng bằng sông Hồng",6729.5,6545.0,6083.3
"Hà Nội",1169.5,1109.6,1051.1
"Vĩnh Phúc",326.4,294.5,320.3
"Bắc Ninh",444.8,439.1,414.9
"Quảng Ninh",211.9,211.8,195.9
"Hải Dương",740.0,726.4,657.9
"Hải Phòng",478.3,465.1,436.7
"Hưng Yên",480.5,457.4,418.6
"Thái Bình",1061.9,1053.6,942.6
"Hà Nam",405.6,395.5,366.4
"Nam Định",935.2,923.9,841.9
"Ninh Bình",475.4,468.1,437.0
"Trung du và miền núi phía Bắc",3336.8,3405.5,3336.4
"Hà Giang",203.5,210.5,211.4
"Cao Bằng",129.5,124.8,132.7
"Bắc Kạn",117.4,118.1,112.3
"Tuyên Quang",266.3,264.3,262.9
"Lào Cai",150.1,158.3,158.8
"Yên Bái",207.7,214.2,211.5
"Thái Nguyên",381.4,384.7,379.4
"Lạng Sơn",210.6,218.3,205.9
"Bắc Giang",619.1,628.5,609.2
"Phú Thọ",370.4,373.2,367.9
"Điện Biên",174.8,175.4,178.1
"Lai Châu",132.8,136.4,145.7
"Sơn La",177.4,182.9,180.0
"Hoà Bình",195.8,215.9,180.6
"Bắc Trung Bộ và Duyên hải miền Trung",6855.1,6842.2,6997.9
"Thanh Hoá",1475.3,1493.1,1463.3
"Nghệ An",978.8,1007.4,1015.1
"Hà Tĩnh",521.5,530.4,442.8
"Quảng Bình",275.4,281.4,284.7
"Quảng Trị",239.4,263.1,243.4
"Thừa Thiên Huế",319.3,324.3,327.4
"Đà Nẵng",31.6,32.2,31.4
"Quảng Nam",461.2,441.7,461.1
"Quảng Ngãi",427.5,416.3,438.8
"Bình Định",657.8,638.9,666.4
"Phú Yên",378.1,376.2,374.4
"Khánh Hoà",199.8,227.1,254.7
"Ninh Thuận",224.5,211.8,276.6
"Bình Thuận",664.9,598.3,717.8
"Tây Nguyên",1209.8,1174.0,1315.6
"Kon Tum",91.6,87.1,91.1
"Gia Lai",333.1,318.9,354.9
"Đắk Lắk",555.8,550.2,643.5
"Đắk Nông",73.1,72.4,74.6
"Lâm Đồng",156.2,145.4,151.5
"Đông Nam Bộ",1376.1,1367.4,1396.7
"Bình Phước",42.4,39.4,39.6
"Tây Ninh",760.8,760.0,788.9
"Bình Dương",31.4,30.6,30.6
"Đồng Nai",337.2,331.5,329.1
"Bà Rịa - Vũng Tàu",116.0,120.7,122.1
"TP.Hồ Chí Minh",88.3,85.2,86.4
"Đồng bằng sông Cửu Long",25583.7,23831.0,23609.0
"Long An",2918.7,2802.2,2643.2
"Tiền Giang",1344.4,1268.1,1249.3
"Bến Tre",278.8,87.6,227.2
"Trà Vinh",1339.5,956.3,1137.4
"Vĩnh Long",1094.7,938.7,942.5
"Đồng Tháp",3384.5,3396.8,3206.8
"An Giang",4073.7,3974.7,3879.6
"Kiên Giang",4643.0,4161.6,4058.8
"Cần Thơ",1408.1,1397.8,1387.2
"Hậu Giang",1293.1,1231.0,1261.0
"Sóc Trăng",2275.5,2171.1,2105.1
"Bạc Liêu",1064.5,993.1,1064.9
"Cà Mau",465.2,452.0,446.0

