" ","2015","2016","2017"
"CẢ NƯỚC",15341.3,15232.1,15461.2
"Bắc Trung Bộ và Duyên hải miền Trung",1782.5,1859.1,1951.4
"Nghệ An",275.0,270.2,289.8
"Hà Tĩnh",203.9,199.9,199.8
"Quảng Bình",94.6,99.7,99.8
"Quảng Trị",99.0,114.9,95.2
"Thừa Thiên Huế",150.7,153.8,148.0
"Đà Nẵng",..,..,..
"Quảng Nam",..,..,..
"Quảng Ngãi",188.9,200.0,201.0
"Bình Ðịnh",259.9,259.4,280.3
"Phú Yên",162.8,174.5,171.3
"Khánh Hoà",50.1,79.9,106.1
"Ninh Thuận",73.5,75.5,100.4
"Bình Thuận",224.1,231.3,259.7
"Tây Nguyên",32.0,29.1,32.2
"Lâm Ðồng",32.0,29.1,32.2
"Ðông Nam Bộ",444.7,439.8,450.9
"Tây Ninh",250.7,254.5,264.9
"Bình Dương",6.4,6.1,6.0
"Ðồng Nai",119.7,113.3,113.3
"Bà Rịa - Vũng Tàu",36.4,37.8,39.2
"TP.Hồ Chí Minh",31.5,28.1,27.5
"Đồng bằng sông Cửu Long",13082.1,12904.1,13026.7
"Long An",1331.0,1390.2,1327.0
"Tiền Giang",803.4,765.1,778.8
"Bến Tre",71.8,66.5,128.0
"Trà Vinh",859.1,667.9,773.4
"Vĩnh Long",657.7,548.2,588.4
"Đồng Tháp",1941.3,1976.5,1952.4
"An Giang",2250.1,2234.6,2202.0
"Kiên Giang",2135.2,2203.7,2122.7
"Cần Thơ",762.8,782.0,830.5
"Hậu Giang",674.6,675.0,729.5
"Sóc Trăng",858.2,864.5,855.1
"Bạc Liêu",584.8,563.7,582.6
"Cà Mau",152.1,166.2,156.3

