" ","2015","2016","2017"
"CẢ NƯỚC",8658.0,8286.4,7861.9
"Đồng bằng sông Hồng",3093.5,2961.8,2549.5
"Hà Nội",552.8,503.9,456.7
"Vĩnh Phúc",142.3,111.8,129.2
"Bắc Ninh",207.4,207.8,190.0
"Quảng Ninh",118.6,119.3,105.5
"Hải Dương",341.2,334.2,271.4
"Hải Phòng",223.6,217.0,192.9
"Hưng Yên",224.8,213.0,185.4
"Thái Bình",488.5,483.6,375.8
"Hà Nam",185.6,179.9,152.8
"Nam Định",408.4,398.4,324.6
"Ninh Bình",200.3,192.9,165.2
"Trung du và miền núi phía Bắc",1914.0,1951.2,1896.7
"Hà Giang",150.0,157.9,158.8
"Cao Bằng",112.5,106.4,114.5
"Bắc Kạn",67.4,66.9,62.9
"Tuyên Quang",145.7,144.5,144.5
"Lào Cai",93.7,100.3,100.4
"Yên Bái",102.3,106.3,104.2
"Thái Nguyên",214.0,216.0,210.9
"Lạng Sơn",130.8,133.2,124.3
"Bắc Giang",301.8,308.5,296.4
"Phú Thọ",157.9,151.5,146.2
"Điện Biên",121.2,123.0,124.9
"Lai Châu",97.8,101.0,109.7
"Sơn La",113.2,114.5,110.3
"Hoà Bình",105.7,121.2,88.7
"Bắc Trung Bộ và Duyên hải miền Trung",1473.7,1452.5,1456.4
"Thanh Hoá",690.2,697.8,668.7
"Nghệ An",134.1,136.1,118.6
"Hà Tĩnh",4.7,1.8,1.1
"Quảng Bình",0.8,0.7,0.4
"Quảng Trị",1.9,1.9,2.0
"Thừa Thiên Huế",1.0,1.0,1.1
"Đà Nẵng",14.5,15.0,13.9
"Quảng Nam",220.8,222.6,220.3
"Quảng Ngãi",7.5,6.9,6.8
"Bình Định",67.9,59.2,65.7
"Phú Yên",19.7,19.6,18.0
"Khánh Hoà",22.2,26.2,29.4
"Ninh Thuận",65.2,39.8,70.6
"Bình Thuận",223.2,223.9,239.8
"Tây Nguyên",695.9,720.5,753.5
"Kon Tum",55.8,56.3,58.2
"Gia Lai",199.7,207.8,214.0
"Đắk Lắk",325.6,340.7,367.6
"Đắk Nông",44.2,46.5,45.2
"Lâm Đồng",70.6,69.2,68.5
"Đông Nam Bộ",507.0,504.8,506.7
"Bình Phước",31.4,30.2,28.8
"Tây Ninh",255.0,254.9,265.9
"Bình Dương",13.5,13.6,13.4
"Đồng Nai",129.4,129.0,123.6
"Bà Rịa - Vũng Tàu",44.5,45.5,42.6
"TP.Hồ Chí Minh",33.2,31.6,32.4
"Đồng bằng sông Cửu Long",973.9,695.6,699.1
"Long An",18.0,5.5,6.2
"Tiền Giang",..,..,..
"Bến Tre",119.4,20.3,29.8
"Trà Vinh",11.1,10.7,10.7
"Vĩnh Long",..,..,..
"Đồng Tháp",..,..,..
"An Giang",19.2,20.1,17.2
"Kiên Giang",283.3,107.5,136.4
"Cần Thơ",..,..,..
"Hậu Giang",..,..,..
"Sóc Trăng",69.3,124.8,64.0
"Bạc Liêu",140.5,120.9,149.0
"Cà Mau",313.1,285.8,285.8

