" ","2015","2016","2017"
"CẢ NƯỚC",5287.2,5246.5,5109.6
"Đồng bằng sông Hồng",438.7,432.2,430.3
"Hà Nội",102.6,97.1,94.4
"Vĩnh Phúc",69.5,66.6,65.5
"Bắc Ninh",17.5,15.5,12.4
"Quảng Ninh",23.2,23.5,23.3
"Hải Dương",21.4,22.7,23.3
"Hải Phòng",5.8,5.9,5.3
"Hưng Yên",49.1,47.1,46.0
"Thái Bình",61.4,66.0,70.9
"Hà Nam",47.1,44.4,45.3
"Nam Định",19.6,19.7,21.7
"Ninh Bình",21.5,23.7,22.2
"Trung du và miền núi phía Bắc",1912.6,1939.3,1899.9
"Hà Giang",186.5,185.2,186.1
"Cao Bằng",133.5,137.5,143.8
"Bắc Kạn",67.7,66.5,64.0
"Tuyên Quang",81.0,80.4,81.6
"Lào Cai",133.2,138.7,146.6
"Yên Bái",93.0,95.4,94.5
"Thái Nguyên",88.0,86.1,79.4
"Lạng Sơn",104.4,108.2,105.2
"Bắc Giang",42.3,43.0,43.0
"Phú Thọ",89.5,87.1,87.0
"Điện Biên",76.2,78.5,80.1
"Lai Châu",66.0,69.9,73.0
"Sơn La",588.7,598.6,561.8
"Hoà Bình",162.6,164.2,153.8
"Bắc Trung Bộ và Duyên hải miền Trung",929.0,940.2,914.4
"Thanh Hoá",245.5,233.0,225.1
"Nghệ An",235.5,250.1,241.9
"Hà Tĩnh",32.2,35.5,28.4
"Quảng Bình",23.3,25.0,25.4
"Quảng Trị",11.7,12.9,14.0
"Thừa Thiên Huế",6.3,6.3,6.7
"Đà Nẵng",2.1,2.6,2.4
"Quảng Nam",57.4,58.2,58.9
"Quảng Ngãi",56.3,58.8,60.9
"Bình Định",49.8,49.4,49.0
"Phú Yên",23.8,22.5,22.4
"Khánh Hoà",12.9,14.7,14.0
"Ninh Thuận",48.7,45.5,50.7
"Bình Thuận",123.5,125.7,114.6
"Tây Nguyên",1295.5,1260.0,1221.9
"Kon Tum",24.2,24.9,24.9
"Gia Lai",219.3,217.9,211.5
"Đắk Lắk",653.4,619.2,595.0
"Đắk Nông",324.3,328.7,325.0
"Lâm Đồng",74.3,69.3,65.5
"Đông Nam Bộ",491.9,481.4,442.9
"Bình Phước",18.7,17.2,17.1
"Tây Ninh",27.6,24.5,27.7
"Bình Dương",0.7,0.8,0.8
"Đồng Nai",369.9,369.0,331.7
"Bà Rịa - Vũng Tàu",71.8,68.1,63.8
"TP.Hồ Chí Minh",3.2,1.8,1.8
"Đồng bằng sông Cửu Long",219.5,193.4,200.2
"Long An",29.0,11.7,9.0
"Tiền Giang",15.8,14.8,16.1
"Bến Tre",2.6,2.3,2.1
"Trà Vinh",30.0,22.5,22.2
"Vĩnh Long",2.9,3.0,3.4
"Đồng Tháp",35.3,37.4,41.9
"An Giang",63.7,60.9,63.1
"Kiên Giang",1.3,1.2,1.7
"Cần Thơ",5.5,5.8,5.6
"Hậu Giang",14.3,14.9,15.1
"Sóc Trăng",16.4,15.9,16.9
"Bạc Liêu",0.8,0.8,0.8
"Cà Mau",1.9,2.2,2.3

