" ","2015","2016","2017"
"CẢ NƯỚC",10740.2,10909.9,10267.7
"Hà Nội",34.9,31.8,22.9
"Hà Giang",36.3,39.8,41.2
"Cao Bằng",59.9,51.9,43.1
"Bắc Kạn",32.1,25.7,19.5
"Tuyên Quang",59.8,57.6,52.1
"Lào Cai",114.5,113.6,111.5
"Yên Bái",305.8,288.8,246.7
"Thái Nguyên",50.1,49.3,43.3
"Lạng Sơn",45.2,39.1,28.0
"Bắc Giang",71.7,63.2,52.3
"Phú Thọ",115.1,115.0,107.7
"Điện Biên",61.7,60.0,62.0
"Lai Châu",36.9,36.9,37.7
"Sơn La",359.5,386.5,377.4
"Hoà Bình",149.6,144.6,129.9
"Thanh Hoá",261.9,269.5,223.2
"Nghệ An",384.8,437.0,345.4
"Hà Tĩnh",65.3,42.9,40.5
"Quảng Bình",114.6,129.1,118.7
"Quảng Trị",208.8,218.4,207.4
"Thừa Thiên Huế",131.3,132.3,127.2
"Quảng Nam",229.2,233.1,207.2
"Quảng Ngãi",377.9,370.5,353.4
"Bình Ðịnh",334.0,323.7,306.3
"Phú Yên",414.1,527.9,502.5
"Khánh Hoà",107.8,89.8,84.8
"Bình Thuận",521.4,495.1,477.9
"Kon Tum",592.0,582.3,576.5
"Gia Lai",1180.9,1207.1,1249.9
"Đắk Lắk",720.7,709.4,684.7
"Đắk Nông",291.2,244.6,222.3
"Lâm Ðồng",..,..,..
"Bình Phước",413.8,403.6,378.7
"Tây Ninh",1868.3,2024.0,1819.8
"Bình Dương",87.0,89.0,87.1
"Ðồng Nai",399.2,399.7,415.0
"Bà Rịa - Vũng Tàu",218.7,215.0,211.3
"Long An",17.9,20.4,24.6
"Bến Tre",..,..,..
"Vĩnh Long",3.0,2.9,2.8
"An Giang",15.4,26.3,28.5
"Kiên Giang",25.8,20.5,18.8

