Tỉnh thành,Diện tích cây lương thực có hạt,Sản lượng cây lương thực có hạt,Sản lượng lương thực có hạt bình quân đầu người,Diện tích lúa,Năng suất lúa,Sản lượng lúa,Diện tích lúa đông xuân,Năng suất lúa đông xuân,Sản lượng lúa đông xuân,Diện tích lúa hè thu và thu đông,Năng suất lúa hè thu và thu đông,Sản lượng lúa hè thu và thu đông,Diện tích lúa mùa,Năng suất lúa mùa,Sản lượng lúa mùa,Diện tích ngô,Năng suất ngô,Sản lượng ngô,Diện tích khoai,Sản lượng khoai,Diện tích sắn,Sản lượng sắn,Năm
Cả nước,8542.2,43305.4,508.8,7422.2,43.6,38729.8,3013.1,60.8,18326.9,2368.7,48.1,11395.7,43.6,2018.4,9007.2,1140.2,40.1,4573.1,162.6,1325.6,55.4,9309.9,2008
Đồng bằng sông Hồng,1251.7,7219.5,370.7,1155.4,5.5,6790.2,566.3,63.7,3609.7,,,,55,586.9,3180.5,98.4,43.6,429.1,32.3,291.8,,,2008
Hà Nội,232.6,1288.8,201.9,206.9,42.4,1177.8,101.2,59.8,60.5,,,,42.4,105.5,572.8,25.9,42.9,11.1,7.5,61.1,2.4,34.2,2008
Vĩnh Phúc,76.4,37.5,377.3,60.5,49.5,301.5,29.8,55.4,165.2,,,,49.5,28.1,136.3,18.5,39.7,73.5,3.2,27.7,,,2008
Bắc Ninh,78.7,450.1,442.1,74.8,53.1,440.3,3.8,63.5,241.3,,,,53.1,38.2,199,2.5,39.2,9.8,1.2,14.7,,,2008
Quảng Ninh,52.5,228.1,20.1,4.5,44.3,204.1,17.3,49.8,86.2,,,,44.3,28.3,117.9,6.8,3.5,23.8,4.6,25.5,,,2008
Hải Dương,131.3,779.2,458.1,12.7,5.7,757.7,63.7,64.9,413.3,,,,57,63.2,344.4,4.4,48.9,21.5,1.5,15.5,,,2008
Hải Phòng,8.5,485.5,266.2,82.4,53.2,475.9,4.0,63.6,254.3,,,,53.2,43.1,221.6,1.9,50.5,9.6,1.7,18.4,,,2008
Hưng Yên,90.9,561.7,498.8,81.5,60.3,514.5,40.3,65.8,265.3,,,,60.3,41.4,249.2,9.2,51.3,47.2,1.4,17.7,,,2008
Thái Bình,177.6,1154.2,647.4,167.1,6.2,1105.2,84.2,7.0,589.4,,,,62,84.1,515.8,9.3,52.7,4.9,4.4,53.4,,,2008
Hà Nam,78.1,456.8,580.5,70.4,55.4,416.3,33.8,63.4,214.2,,,,55.4,35.9,202.1,8.4,48.2,40.5,0.8,9.2,,,2008
Nam Định,161.3,948.1,519.2,158.6,52.5,92.9,76.9,67.5,519.4,,,,52.5,79.8,409.6,4.6,41.5,19.1,3.5,29.8,,,2008
Ninh Bình,87.3,49.2,547.8,81.2,52.7,467.9,41.1,62.3,256.1,,,,52.7,39.3,211.8,6.9,34.9,24.1,2.5,18.8,,,2008
Trung du và miền núi phía Bắc,1118.8,4448.9,404.5,669.8,40.9,2903.9,231.2,51.7,1195.2,,,,40.9,427.6,1708.7,459.2,33.6,1544.6,41.4,267.5,,,2008
Hà Giang,83.4,279.2,389.8,37.1,45.1,167.3,9.5,46.6,44.3,,,,45.1,27.1,123,46.4,24.1,111.7,1.5,0.8,3.8,31.1,2008
Cao Bằng,7.0,237.5,465.2,30.3,37.9,124.6,3.7,50.8,18.8,,,,37.9,27.5,105.8,38.4,29.3,112.7,1.7,9.1,2.1,21.6,2008
Bắc Kạn,37.9,152.2,518.4,21.5,42.7,93.8,7.1,46.2,32.8,,,,42.7,14.1,61,16.7,3.5,58.4,0.6,2.5,2.2,2.4,2008
Tuyên Quang,61.4,323.3,446.9,45.6,56.5,256.6,19.5,56.4,109.9,,,,56.5,25.7,146.7,16.2,41.2,66.7,4.5,26.9,6.3,8.3,2008
Lào Cai,57.1,199.1,328.3,29.1,40.5,118.4,8.8,5.3,46.6,,,,40.5,19.5,71.8,28.8,2.8,80.7,0.6,3.2,8.2,98.8,2008
Yên Bái,5.7,215.5,292.2,41.2,39.2,170.2,16.9,48.6,82.1,,,,39.2,22.7,88.1,17.4,2.6,45.3,2.9,15.1,15.8,294.5,2008
Thái Nguyên,89.5,417.2,372.4,69.9,47.4,332.6,27.4,5.0,137.1,,,,47.4,41.5,195.5,20.6,41.1,84.6,7.9,46.7,4.1,43.3,2008
Lạng Sơn,69.9,286.7,392.4,49.9,37.8,191.8,15.1,48.3,72.9,,,,37.8,34.1,118.9,20.7,45.8,94.9,2.4,9.9,5.1,44.4,2008
Bắc Giang,125.5,569.4,366.3,111.4,50.1,518.4,50.1,52.7,263.8,,,,50.1,59.8,254.6,15.6,32.7,5.1,8.9,88.7,5.4,67.7,2008
Phú Thọ,9.1,421.3,321.2,71.3,47.8,331.8,35.1,51.4,180.3,,,,47.8,32.8,151.5,23.1,38.7,89.5,3.3,20.1,7.3,97.9,2008
Điện Biên,72.1,202.7,422.9,44.9,25.9,138.4,7.6,57.5,43.7,,,,25.9,35.6,94.7,28.9,22.2,64.3,0.4,2.5,7.5,55.4,2008
Lai Châu,48.8,144.9,393.9,3.0,30.3,104.7,5.2,5.0,2.6,,,,30.3,25.4,78.7,18.2,22.1,40.2,0.8,4.2,5.3,42.9,2008
Sơn La,177.9,65.2,610.9,45.9,23.6,148.5,9.2,56.6,52.1,,,,23.6,36.4,96.4,132.3,38.1,503.5,0.5,3.3,23.7,270.4,2008
Hoà Bình,77.3,347.9,447.2,41.7,45.7,206.8,1.6,5.3,84.8,,,,45.7,25.4,122,35.9,39.3,141.1,5.4,27.3,13.2,144.9,2008
Bắc Trung Bộ và Duyên hải miền Trung,1430.5,6959.2,370.2,1219.3,41.9,6114.9,544.2,54.2,2951.2,328.5,52.2,1713.8,41.9,337.6,1449.9,219.6,38.4,843.4,61.1,374.7,,,2008
Thanh Hoá,315.2,1635.8,479.9,258.1,50.3,1404.3,117.9,60.3,711.5,,,,50.3,136.5,692.8,60.7,38.1,231.4,13.7,86.2,16.9,210.6,2008
Nghệ An,244.6,1157.7,397.5,184.6,27.1,934.3,84.5,61.2,517.2,56.9,51.4,292.7,27.1,41.7,124.4,61.4,36.4,223.3,12.2,78.2,19.3,374.1,2008
Hà Tĩnh,110.3,490.9,397.8,100.5,1.6,466.5,53.3,49.9,26.6,40.6,45.8,186.1,16,6.6,14.4,9.8,24.9,24.4,12.8,78.2,4.1,49.8,2008
Quảng Bình,55.4,261.4,309.9,50.8,1.9,240.1,27.2,53.6,145.9,22.1,41.5,91.8,19,0.9,2.4,5.1,41.4,21.1,4.2,26.7,5.8,96.1,2008
Quảng Trị,50.9,226.2,379.1,48.1,15.1,218.3,23.2,49.1,11.4,19.4,5.0,9.7,15.1,4.5,7.3,3.8,20.8,7.9,3.4,24.1,1.0,17.1,2008
Thừa Thiên Huế,52.5,280.1,258.2,53.1,1.5,274.8,25.8,54.8,141.5,24.4,54.2,132.2,15,0.7,1.1,1.6,33.1,5.3,4.3,19.7,7.5,11.8,2008
Đà Nẵng,8.9,47.3,54.4,0.8,55.9,42.6,4.1,50.7,20.8,,,,55.9,3.9,21.8,0.9,52.2,4.7,0.5,0.3,,,2008
Quảng Nam,98.2,434.7,306.6,85.9,46.1,380.6,40.8,42.4,172.8,,,,46.1,45.1,207.8,12.3,4.4,54.1,7.2,43.7,13.9,199.8,2008
Quảng Ngãi,84.4,40.8,335.3,73.8,27.5,354.4,36.3,4.4,159.6,31.4,56.7,17.8,27.5,6.1,16.8,10.6,50.6,53.6,0.9,4.7,20.5,350.4,2008
Bình Định,123.3,660.8,444.8,115.1,43.4,61.9,47.3,55.6,262.8,40.4,58.7,237.2,43.4,27.4,119,8.2,5.1,41.8,0.4,1.8,13.9,295.9,2008
Phú Yên,63.1,312.1,364.3,56.7,27.6,294.6,25.6,46.1,118.1,23.7,65.9,156.1,27.6,7.4,20.4,6.4,27.3,17.5,0.2,1.1,16.5,247.9,2008
Khánh Hoà,51.4,225.6,196.3,45.7,2.0,215.2,19.1,5.5,10.5,18.1,51.5,93.2,20,8.5,17,5.7,18.2,10.4,0.1,0.6,6.5,111.7,2008
Ninh Thuận,52.9,248.4,44.3,37.9,43.2,200.3,1.2,63.3,75.9,12.9,52.9,68.3,43.2,13,56.1,14.7,32.4,47.6,0.1,0.6,,,2008
Bình Thuận,119.4,570.2,490.7,10.1,42.1,469.9,27.1,51.7,140.1,38.6,46.9,181.2,42.1,35.3,148.6,18.4,54.5,100.3,1.1,6.1,30.2,467.4,2008
Tây Nguyên,445.2,2015.3,400.1,211.2,40.3,935.2,69.1,52.1,360.2,0.6,43.3,2.6,40.3,136.2,549,233.6,46.2,1079.2,1.3,131.1,,,2008
Kon Tum,31.4,105.6,251.1,23.4,29.1,77.4,6.8,42.8,29.1,,,,29.1,16.6,48.3,0.8,35.3,28.2,0.2,1.1,37.8,553.1,2008
Gia Lai,123.8,48.7,389.2,68.4,36.2,292.8,22.3,56.5,125.9,,,,36.2,46.1,166.9,55.4,35.1,194.2,1.5,9.3,60.8,82.1,2008
Đắk Lắk,193.7,947.4,552.4,75.8,46.9,369.3,26.7,52.1,13.9,,,,46.9,49.1,230.3,117.9,4.9,578.1,3.6,31.1,25.6,509.8,2008
Đắk Nông,45.4,257.1,541.9,11.4,39.6,52.1,3.9,56.4,2.2,,,,39.6,7.6,30.1,33.9,60.5,20.5,4.8,56.7,21.5,440.8,2008
Lâm Đồng,50.9,218.2,185.6,32.2,43.7,143.6,9.4,4.7,44.2,0.6,43.3,2.6,43.7,16.8,73.4,18.4,40.1,73.7,2.9,32.9,,,2008
Đông Nam Bộ,396.5,1763.8,128.9,307.6,3.9,1316.1,75.8,49.8,377.4,94.4,42.7,402.8,39,137.5,535.9,88.8,50.4,447.7,2.1,17.4,,,2008
